Time,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/h-sl-meters
23.496,-115.868261685857959,37.1137015416392799,1061.36751661950962
23.504,-115.868286641955834,37.1137156119324629,1061.24576244037462
23.512,-115.868311598311521,37.1137296823552205,1061.12400820333073
23.52,-115.868336554924966,37.1137437529074958,1061.00225391064896
23.528,-115.86836151179611,37.1137578235892676,1060.88049956119357
23.536,-115.868386468924854,37.1137718944004931,1060.75874515496503
23.544,-115.86841142631117,37.1137859653411297,1060.63699069196286
23.552,-115.868436383954972,37.113800036411142,1060.51523617332282
23.56,-115.868461341856204,37.1138141076105228,1060.39348159790939
23.568,-115.868486300014837,37.1138281789392295,1060.27172696458706
23.576,-115.868511258430786,37.1138422503972123,1060.14997227562662
23.584,-115.868536217103951,37.1138563219844215,1060.02821753216381
23.592,-115.868561176034319,37.1138703937008358,1059.9064627319276
23.6,-115.86858613522179,37.1138844655464055,1059.78470787491801
23.608,-115.868611094666335,37.1138985375211234,1059.66295296227054
23.616,-115.868636054367883,37.1139126096249683,1059.54119799398495
23.624,-115.868661014326406,37.1139266818578974,1059.41944296892598
23.632,-115.868685974541805,37.1139407542198896,1059.2976878893644
23.64,-115.868710935014022,37.1139548267108736,1059.17593275302943
23.648,-115.868735895742972,37.1139688993308141,1059.05417756219208
23.656,-115.868760856728613,37.1139829720796754,1058.93242231685235
23.664,-115.868785817970902,37.1139970449574506,1058.81066701473901
23.672,-115.868810779469754,37.1140111179640826,1058.68891165812329
23.68,-115.868835741225126,37.1140251910995573,1058.56715624586946
23.688,-115.868860703236919,37.1140392643638108,1058.44540077911324
23.696,-115.868885665505132,37.1140533377568218,1058.32364525671915
23.704,-115.86891062802961,37.1140674112785334,1058.20188968095795
23.712,-115.868935590810381,37.1140814849289242,1058.08013404955864
23.72,-115.868960553847344,37.1140955587079802,1057.95837836138617
23.728,-115.868985517140459,37.1141096326156799,1057.83662262211737
23.736,-115.869010480689639,37.1141237066519523,1057.71486682607542
23.744,-115.869035444494855,37.1141377808167903,1057.59311097553086
23.752,-115.869060408555981,37.1141518551101015,1057.4713550716192
23.76,-115.869085372873002,37.1141659295318789,1057.34959911547617
23.768,-115.869110337445875,37.1141800040821082,1057.22784310255952
23.776,-115.869135302274501,37.1141940787607751,1057.10608703627599
23.784,-115.869160267358851,37.1142081535678088,1056.98433091662537
23.792,-115.869185232698868,37.1142222285031878,1056.86257474133686
23.8,-115.869210198294425,37.1142363035668694,1056.74081851381675
23.808,-115.86923516414555,37.1142503787588183,1056.61906223179403
23.816,-115.869260130252073,37.1142644540789703,1056.49730589867545
